ID,Square_Feet,Num_Bedrooms,Num_Bathrooms,Num_Floors,Year_Built,Has_Garden,Has_Pool,Garage_Size,Location_Score,Distance_to_Center,Price
42,173.79,5,1,2,1901,1,0,15,4.97,19.03,524483.18
43,58.6,5,2,1,1963,0,1,36,2.3,15.53,531302.36
44,277.33,3,3,1,1934,1,0,11,0.45,12.23,610874.18
45,114.69,5,1,2,1906,1,0,38,4.16,17.15,499521.05
46,215.63,5,3,3,1984,0,1,47,3.02,13.46,848335.01
47,127.93,5,2,1,1917,1,0,12,7.61,8.16,532329.56
48,180.02,5,2,1,1966,0,0,25,3.54,17.71,649521.65
49,186.68,2,1,1,1941,1,0,39,9.49,4.44,519049.39
50,96.21,2,2,2,2017,0,0,49,9.62,14.29,542062.85
51,292.4,3,1,2,1938,0,1,11,6.21,17.63,622563.36
52,243.78,1,2,2,1940,1,1,26,9.29,14.63,570832.17
53,284.87,5,2,2,2012,1,1,21,7.61,13.95,909199.56
54,273.71,1,1,3,1974,1,1,44,5.47,15.05,649312.33
55,199.47,1,1,3,2002,0,1,10,1.8,9.3,538708.18
56,280.47,3,1,2,1923,0,1,24,4.59,17.48,584121.04
57,72.12,5,2,3,1959,0,1,35,5.61,4.07,639018.58
58,99.0,5,2,1,1945,1,1,46,8.64,2.55,643872.58
59,61.31,4,3,1,1918,0,1,30,4.81,5.71,497402.48
60,131.33,1,1,1,1967,0,1,40,8.98,10.63,440991.88
61,147.17,1,2,2,1989,1,0,34,6.74,10.21,521898.92
62,117.84,2,2,1,2001,0,1,32,1.37,16.41,525144.75
63,257.18,4,1,3,1941,0,0,33,9.95,8.09,695024.31
64,139.19,2,3,2,1931,1,0,47,5.27,9.69,506038.29
65,120.23,2,1,3,1938,0,0,37,3.92,0.27,431988.46
66,185.67,2,3,1,2008,1,0,30,6.59,8.19,627785.12
67,85.23,3,2,1,2009,1,1,27,1.09,12.96,578817.55
68,250.55,3,3,1,1935,1,0,45,6.37,0.31,685065.87
69,68.64,2,2,2,2003,1,1,44,4.98,5.62,529467.6
70,296.72,4,1,3,2000,1,1,18,4.07,4.16,854304.13
71,243.06,1,1,2,1996,0,0,47,9.53,0.84,627395.37
72,99.68,4,1,2,1935,0,1,39,5.23,9.59,511009.7
73,51.38,5,3,1,1902,1,0,43,2.19,3.63,479576.53
74,253.87,3,2,2,1972,1,0,41,4.59,14.86,667693.0
75,226.71,1,1,2,1907,0,1,12,9.19,16.96,401169.07
76,232.25,1,1,1,1996,1,1,12,1.76,10.91,557752.84
77,242.82,5,2,2,2022,1,0,37,2.14,19.63,814846.45
78,68.51,5,1,1,1969,1,1,24,0.13,9.01,562584.04
79,139.62,2,2,1,1940,0,1,32,0.14,10.27,450110.74
80,78.97,3,2,1,2002,0,1,49,8.29,19.78,546908.27
81,265.78,3,2,1,1967,1,0,20,7.32,4.63,679084.03
82,205.82,4,2,2,1912,1,0,41,3.55,18.85,583738.72
83,132.72,2,2,1,1948,0,1,45,6.98,0.86,503158.73
84,65.89,2,3,1,1959,0,1,42,3.95,8.93,466696.77
85,127.75,2,1,2,1901,1,1,33,9.53,1.4,458704.41
86,131.3,2,3,2,1959,1,1,48,9.67,14.58,584355.28
87,232.4,3,1,3,1904,0,1,43,3.93,12.17,572360.65
88,209.39,3,3,2,1943,0,0,37,8.54,14.13,599520.88
89,271.8,2,2,2,1926,0,1,46,7.73,7.49,644419.73
90,168.05,4,1,3,1931,1,0,16,3.1,7.39,546491.12
91,79.9,1,1,2,1920,0,1,13,2.32,0.91,276892.47
92,228.31,1,3,2,1907,1,0,46,4.58,7.0,509064.87
93,240.2,4,3,2,2001,0,1,10,7.81,18.59,788180.23
94,190.32,2,1,2,1971,0,0,10,9.6,7.58,488035.88
95,242.74,3,3,3,1949,0,1,29,7.64,16.63,715176.76
96,173.45,1,3,2,1966,0,0,28,8.55,16.85,503480.64
97,180.68,5,3,2,2017,1,0,38,6.03,7.46,802007.17
98,156.89,5,2,3,1943,1,0,19,8.35,12.64,643683.57
99,56.35,4,2,1,1957,0,0,27,7.84,1.91,481420.81
100,76.97,2,3,3,1902,1,0,37,3.77,2.07,396497.95
101,57.86,1,3,1,1985,0,0,44,5.52,0.97,427818.45
102,209.1,2,2,3,1969,0,1,40,8.05,11.62,642579.09
103,128.59,1,2,3,1901,0,0,36,0.46,8.52,299477.85
104,177.14,4,1,2,1986,0,1,20,8.08,10.96,648175.92
105,276.89,4,1,1,1943,1,1,47,1.78,10.42,730197.48
106,112.32,5,2,2,1901,0,1,14,5.15,7.0,570260.37
107,152.6,2,3,1,2001,0,1,17,8.08,13.55,605185.15
108,238.89,5,3,3,1980,1,1,43,2.54,15.17,860013.26
109,107.2,2,3,3,1934,0,0,21,2.46,0.29,432105.52
110,69.24,5,3,1,1997,0,0,47,4.03,4.14,644587.49
111,122.44,3,1,2,1986,0,0,10,8.95,14.26,499158.98
112,90.31,3,2,2,1929,1,1,40,0.0,7.73,456161.23
113,282.42,3,3,2,2015,0,0,13,9.01,13.25,787131.57
114,252.03,3,1,2,1907,1,0,14,1.54,6.94,547258.01
115,208.35,1,3,3,1921,0,0,39,9.9,7.82,527470.1
116,267.87,3,2,3,1943,0,0,33,9.55,3.17,654928.12
117,250.92,4,1,3,1957,1,0,12,4.95,5.16,670086.01
118,96.64,4,2,3,1935,0,1,20,5.13,12.11,503407.66
119,273.14,1,2,3,1968,0,0,13,4.82,8.66,596811.66
120,184.84,3,1,2,1976,1,1,35,6.35,15.49,627500.86
121,251.86,3,1,2,1992,1,1,36,0.91,17.05,742958.51
122,274.02,3,1,2,1930,1,1,36,0.33,10.83,674092.47
123,129.5,5,1,2,1946,1,1,15,0.58,15.17,567986.8
124,77.51,2,1,3,2020,1,1,24,4.44,6.14,547289.71
125,106.98,5,1,3,1954,0,0,39,2.76,8.3,573486.15
126,156.78,2,1,3,1979,1,0,46,6.22,14.26,508776.98
127,254.5,3,3,1,2005,0,0,46,9.92,7.72,743412.14
128,265.18,3,2,2,1961,0,1,46,3.86,11.77,687695.43
129,51.74,5,1,2,1929,0,0,44,5.74,3.71,517538.5
130,177.69,5,3,3,2020,1,0,32,4.16,12.0,819696.53
131,154.35,2,3,2,1954,1,1,15,8.47,17.23,562560.45
132,105.53,4,3,2,1915,0,1,13,9.02,17.37,518763.49
133,79.97,2,2,3,1911,1,1,27,8.77,14.49,456241.34
134,134.4,5,1,1,1916,1,1,18,9.74,14.92,565358.05
135,285.73,5,3,1,1915,1,0,38,0.28,11.16,714280.63
136,130.8,1,2,1,1911,1,1,22,8.4,11.69,385122.35
137,179.7,5,2,3,1907,0,1,26,7.52,2.67,638089.5
138,225.75,1,2,2,1983,0,0,41,2.29,8.88,515014.39
139,140.91,4,3,3,1902,1,0,31,9.56,9.02,574652.92
140,292.95,2,1,3,1915,0,1,13,1.48,19.17,532249.41
141,290.61,2,3,2,1929,1,0,14,6.8,8.62,620457.37
142,112.95,1,3,1,2008,1,1,46,2.25,10.99,548437.98
143,174.31,2,1,1,1922,0,1,22,4.31,10.67,419777.35
144,125.22,5,1,3,1991,0,0,43,7.19,12.74,682189.63
145,121.21,3,1,1,2014,0,0,31,5.63,14.96,540406.72
146,59.22,1,2,3,2003,1,1,32,4.28,4.5,505392.97
147,202.39,2,1,3,2017,0,1,12,3.26,10.57,630144.19
148,175.67,1,3,2,1904,1,1,43,8.4,16.52,486174.27
149,62.87,1,1,2,1983,0,0,41,1.44,9.26,280166.11
150,119.66,3,3,2,2003,0,1,30,4.3,5.57,644938.32
151,277.07,5,2,3,2019,1,1,30,9.04,13.09,960678.27
152,109.89,1,3,2,2007,1,1,20,8.46,16.48,527479.02
153,86.22,2,3,1,1964,1,1,48,4.01,1.26,547733.42
154,172.36,4,1,1,2020,1,1,13,7.63,15.54,696835.46
155,296.41,1,1,3,1929,1,0,10,8.23,16.43,534963.41
156,110.51,1,3,3,1920,1,1,37,8.89,9.23,478489.3
157,218.03,3,1,2,1983,1,1,33,5.45,19.67,688446.04
158,240.4,5,2,3,1969,1,1,44,2.04,15.73,821184.19
159,109.41,4,2,3,1921,0,1,22,2.55,15.47,534776.67
160,232.05,2,1,1,1981,1,0,43,2.96,14.96,583119.8
161,141.95,4,2,1,1971,1,0,20,5.94,3.01,579720.47
162,208.08,2,1,2,2002,0,0,45,0.33,4.34,554247.37
163,208.38,5,3,3,1931,1,1,26,6.36,9.28,783157.16
164,183.94,2,3,3,1932,0,1,44,3.64,5.28,576290.46
165,72.57,3,2,1,2016,0,0,27,2.95,8.3,496952.76
166,258.83,3,1,3,1915,1,0,49,8.79,17.77,634493.18
167,130.2,3,1,1,1975,0,0,31,4.6,16.49,457514.73
168,96.63,3,2,2,1937,1,1,33,0.95,12.6,475302.1
169,60.19,4,3,1,2015,0,1,28,8.27,17.16,611030.31
170,197.72,5,2,3,1997,0,0,46,0.48,15.68,773901.53
171,219.39,2,3,2,1913,0,0,48,7.27,8.58,532504.76
172,54.15,2,1,1,1935,1,0,30,7.74,4.02,320014.71
173,178.02,3,3,1,1996,1,1,17,3.53,10.28,640696.18
174,106.62,3,2,2,1922,0,1,37,8.25,14.72,475921.45
175,211.29,1,1,2,2013,0,1,14,5.16,8.73,569188.94
176,93.59,5,2,1,2008,1,0,26,4.63,13.34,657068.89
177,222.73,4,2,3,1965,1,0,46,0.45,1.89,731778.4
178,146.68,2,3,1,2004,0,1,45,2.9,14.96,592138.18
179,284.18,1,2,2,1984,0,0,28,9.31,16.25,593141.08
180,84.38,1,3,1,1901,1,1,36,3.92,14.14,359989.96
181,135.27,2,1,2,1990,1,0,43,5.47,19.35,466936.15
182,78.37,4,3,2,2020,1,0,20,5.32,16.53,671525.0
183,281.17,1,1,3,1972,1,0,21,5.9,18.06,586653.32
184,269.33,1,3,2,1964,1,0,30,0.61,18.67,588398.35
185,114.49,5,2,2,1974,0,1,20,3.62,16.03,610057.23
186,215.0,4,3,3,1966,1,0,48,7.23,13.49,776835.04
187,254.31,1,3,2,1951,0,1,37,2.01,0.11,598404.48
188,188.8,4,1,3,1961,1,1,14,2.04,9.32,636794.93
189,182.41,2,2,3,1922,0,1,26,0.1,11.42,488287.24
190,110.46,3,3,2,1925,1,0,29,4.37,6.08,495424.86
191,73.28,1,2,2,1967,1,1,21,8.83,6.36,434617.49
192,274.3,5,3,1,1981,0,1,15,0.52,19.22,767053.86
193,275.1,2,3,3,1954,0,1,26,1.91,17.83,636527.38
194,208.28,4,2,1,1905,1,0,28,3.1,16.98,516038.13
195,134.76,2,3,2,1934,1,0,35,7.32,8.12,493341.25
196,137.3,1,2,1,1921,1,1,41,6.41,0.27,423506.53
197,231.49,4,3,3,1942,1,0,15,4.16,1.6,693249.74
198,274.28,3,1,1,1914,1,1,45,7.59,6.24,666645.85
199,271.77,2,2,3,1985,0,1,47,6.1,0.31,762589.63
200,244.97,1,3,2,1959,0,0,20,8.96,0.34,556587.35
201,210.51,5,3,2,2000,1,1,42,8.18,18.33,885909.22
202,71.03,4,1,3,2015,0,0,33,2.53,14.12,511600.55
203,90.41,2,2,2,2005,0,0,32,2.71,6.18,529703.75
204,274.64,2,3,2,1911,0,1,24,1.25,2.65,622106.85
205,201.61,3,1,2,2010,1,0,36,3.37,10.23,637795.43
206,52.3,3,3,2,1948,0,0,20,10.0,0.11,481711.14
207,75.37,5,2,3,1941,1,1,26,4.06,18.77,567600.51
208,215.88,5,3,1,1937,0,1,23,2.2,8.3,700016.12
209,51.27,1,3,1,1981,1,0,36,7.62,8.05,417122.88
210,90.2,1,3,2,1944,0,0,27,5.42,7.81,358006.55
211,187.18,5,3,1,1934,1,1,37,1.5,1.39,710519.24
212,222.97,5,1,1,1929,1,0,13,3.81,12.77,591635.64
213,212.99,4,1,2,1987,0,0,16,4.14,14.66,598258.92
214,106.07,3,2,2,2005,1,0,44,7.54,13.52,581050.85
215,228.04,1,1,1,1929,1,0,18,0.21,2.77,386204.07
216,109.31,3,1,3,1977,1,0,17,2.69,11.58,519256.26
217,131.35,3,2,2,1905,1,0,26,5.18,11.39,429308.11
218,236.62,5,1,3,1966,1,0,26,2.69,17.37,685888.34
219,212.41,4,1,1,1979,1,1,42,6.28,7.58,735994.91
220,262.31,2,2,2,1906,1,1,41,4.82,7.43,608932.2
221,214.4,4,2,3,1951,1,1,17,3.62,12.37,717337.67
222,192.08,4,2,2,1913,0,1,28,9.49,12.66,630036.34
223,73.42,3,3,1,1972,0,1,47,6.32,9.39,590004.36
224,141.93,4,3,3,1914,1,0,12,1.3,8.86,540582.85
225,116.3,1,2,1,1920,1,0,14,5.6,9.88,299387.12
226,111.0,3,2,1,1934,0,0,22,7.81,17.22,424012.95
227,293.25,1,2,2,1965,0,0,40,7.08,9.22,584350.36
228,148.27,2,3,3,1990,0,1,25,1.72,18.8,560131.52
229,273.01,3,3,1,1901,1,0,41,9.72,10.08,635970.99
230,207.78,2,1,1,1934,0,0,31,4.49,18.98,441572.37
231,248.7,3,1,3,1981,1,1,38,1.59,16.66,686120.9
232,175.66,5,2,1,1977,1,0,31,1.8,7.25,702159.57
233,194.23,4,3,1,1919,0,0,12,0.98,17.27,495299.78
234,173.13,5,3,3,1981,1,1,19,8.04,2.2,824524.73
235,98.81,2,3,3,1909,1,0,30,1.22,18.5,399136.54
236,230.61,4,2,3,1924,1,0,25,1.25,12.63,614845.57
237,120.19,3,1,3,1965,1,0,21,8.5,1.09,513520.99
238,56.08,4,2,2,1924,0,0,11,3.45,12.89,413087.08
239,211.37,1,1,3,1953,0,0,33,0.31,19.48,413971.78
240,94.28,4,1,2,1932,1,1,44,0.52,1.4,550978.38
241,285.11,1,2,2,1935,1,1,39,1.42,11.09,566252.78
242,288.48,4,1,2,1994,0,1,39,2.13,14.96,747371.31
243,278.72,1,1,1,1913,1,1,44,6.65,16.21,540311.73
244,142.54,2,3,2,1964,0,1,28,1.57,8.28,544663.05
245,53.86,5,1,2,2009,1,1,17,1.19,4.08,623369.5
246,282.08,3,2,1,1979,1,0,35,7.65,0.85,739222.54
247,157.05,4,2,1,1953,0,1,49,6.71,11.59,606828.97
248,291.66,5,1,1,2009,0,1,16,4.35,9.06,827018.66
249,290.9,3,3,3,1951,0,0,39,5.49,18.97,698491.79
250,263.25,3,3,1,1902,0,0,16,3.12,1.21,547951.74
251,123.61,1,1,1,1998,1,1,12,4.83,13.71,442615.72
252,146.27,2,1,2,1940,0,0,10,5.07,0.5,412014.39
253,262.78,2,2,1,1905,1,1,45,3.87,3.43,586689.04
254,129.23,5,1,3,1924,0,0,34,9.07,9.07,557099.51
255,92.37,2,3,1,1912,0,1,46,0.16,9.1,378305.09
256,189.2,4,1,3,2016,1,0,10,7.82,13.71,705130.4
257,284.04,2,2,1,1997,0,0,24,1.24,18.2,594082.87
258,224.01,5,2,1,1907,0,1,46,7.98,12.78,654130.38
259,192.52,2,2,1,1920,0,1,22,6.16,19.07,468040.08
260,74.29,4,2,1,1997,0,1,49,8.43,17.63,637859.51
261,203.75,1,2,3,1967,1,1,17,0.98,11.69,545410.98
262,297.51,5,1,3,1924,1,1,14,5.59,16.68,792066.35
263,85.02,1,1,2,1978,0,0,18,5.01,12.85,381658.93
264,179.58,1,1,3,1967,0,1,10,7.06,1.57,493181.38
265,269.34,1,1,1,1944,0,1,45,5.34,14.81,527616.09
266,235.19,3,2,2,1959,1,0,44,5.41,1.9,713007.18
267,224.25,3,3,2,1911,1,0,11,4.3,11.88,557048.82
268,225.62,1,1,2,1931,1,1,49,3.09,14.05,509193.38
269,139.87,5,3,1,1995,1,0,32,4.82,1.33,692424.79
270,123.4,4,1,3,1991,0,0,18,1.18,4.62,553957.55
271,252.34,4,1,1,1912,0,1,43,9.62,18.31,635900.84
272,252.53,2,3,2,1930,0,0,23,7.14,12.33,610181.96
273,266.77,5,2,1,1977,1,0,13,9.52,4.93,789119.86
274,278.31,3,1,1,1919,0,1,39,2.27,13.81,546266.79
275,177.84,1,1,3,1917,1,1,40,8.79,11.94,455326.61
276,175.38,2,1,3,1992,1,0,47,8.09,10.03,600039.75
277,249.57,4,3,2,1959,0,0,20,6.77,19.52,706428.07
278,212.49,3,2,1,1962,0,1,44,6.25,13.67,646151.36
279,225.49,3,3,1,1905,0,0,17,3.17,7.51,520006.68
280,248.95,1,3,3,1931,1,0,12,8.16,16.0,572448.66
281,272.5,4,2,1,1992,1,0,23,5.02,17.69,718789.2
282,134.5,5,3,1,1942,0,1,22,0.71,2.5,628416.44
283,143.9,3,2,1,1901,0,0,41,3.13,4.01,413609.13
284,73.5,1,1,3,1959,1,0,43,9.35,4.32,407682.14
285,194.57,5,2,2,1922,0,1,28,8.51,13.82,650330.19
286,58.99,4,1,2,1982,1,0,47,9.82,12.06,547079.75
287,166.4,3,3,1,1930,1,0,25,6.28,12.38,532485.2
288,185.66,5,3,2,2014,0,1,11,2.48,18.82,764976.3
289,121.64,5,1,3,1904,0,1,49,1.63,15.52,540518.37
290,197.71,5,3,3,1982,0,1,26,1.87,2.56,809037.37
291,57.63,3,2,2,1933,0,1,43,0.2,6.95,461988.48
292,59.34,3,1,2,1909,1,0,25,3.91,8.71,376178.52
293,255.65,2,3,1,1988,1,0,47,1.91,7.92,683611.5
294,140.05,4,1,2,1901,1,1,11,4.12,13.39,471158.46
295,81.77,1,2,1,1910,0,1,11,9.35,17.84,291630.93
296,180.56,5,2,1,1949,1,0,35,4.31,6.12,652860.07
297,242.5,2,3,3,1930,0,1,22,8.78,11.04,618179.53
298,103.96,1,2,3,1955,0,0,40,6.06,15.79,402001.14
299,205.72,2,1,3,1978,0,1,43,2.47,8.32,569543.9
300,71.34,3,2,3,1972,0,0,48,3.56,3.36,542276.21
301,62.92,5,1,2,1986,0,1,12,0.84,9.5,583022.78
302,182.84,1,1,3,1982,0,1,17,3.33,1.1,536866.93
303,185.16,1,2,2,1908,1,0,32,6.78,18.85,404098.3
304,209.36,1,3,3,1998,0,1,23,0.72,1.5,654546.97
305,231.52,1,2,2,1920,1,0,36,2.05,8.77,484042.73
306,293.96,1,1,1,1972,1,0,38,3.81,10.6,589972.58
307,179.08,2,1,2,1927,0,0,48,9.82,19.71,446084.37
308,130.74,5,2,2,1961,0,0,48,7.85,3.32,688627.6
309,248.8,3,3,3,2009,0,0,10,7.33,2.29,777731.38
310,117.71,3,3,2,2014,1,1,26,1.16,0.17,690360.09
311,159.74,3,1,1,1906,0,1,39,7.81,3.11,515689.25
312,69.61,3,1,1,1979,1,0,22,7.85,4.15,462703.38
313,56.34,2,3,3,1915,0,1,30,6.01,12.61,390319.58
314,290.66,4,2,1,1996,0,0,28,9.9,4.39,789822.93
315,259.0,5,1,2,1903,1,1,28,3.25,0.41,705795.08
316,223.99,1,1,1,1903,1,1,34,9.41,16.53,452538.09
317,152.24,4,3,3,2002,0,1,31,9.15,7.31,791677.2
318,93.32,3,2,2,1939,1,1,40,0.11,7.07,511592.53
319,89.11,4,3,3,1916,1,0,26,4.5,6.05,534787.31
320,112.56,5,2,2,2000,1,0,32,9.77,19.51,677859.95
321,187.31,1,2,1,2002,1,1,41,1.03,3.4,607280.58
322,228.65,1,2,3,1951,1,1,19,5.48,17.96,579646.21
323,215.05,5,1,3,1992,0,0,19,9.79,15.54,747398.28
324,119.98,5,3,2,1951,0,1,45,5.55,1.53,686253.77
325,288.72,3,3,3,1935,1,0,17,1.9,19.73,684319.69
326,234.47,1,2,2,1937,0,0,29,5.82,5.43,524004.12
327,188.59,4,1,2,2002,0,0,41,2.04,1.97,675707.99
328,202.93,2,1,2,1949,1,1,23,5.2,16.59,526057.06
329,154.9,2,3,2,1962,0,0,37,0.74,14.13,474291.06
330,111.93,5,1,1,2000,1,1,33,6.05,12.34,673010.59
331,138.99,3,1,2,2015,1,0,24,5.17,3.12,593805.89
332,239.46,2,2,3,1962,0,1,31,7.4,9.57,649907.9
333,53.6,1,1,1,1961,1,1,39,6.31,15.61,377060.0
334,79.02,5,2,3,1998,1,1,13,5.5,6.07,710152.56
335,61.5,4,3,1,1906,1,0,22,6.9,6.23,458567.79
336,60.18,5,1,2,1926,1,0,32,1.44,0.06,483429.61
337,263.87,4,3,1,1991,1,1,17,5.95,3.48,828686.47
338,225.91,5,3,1,1985,0,1,27,1.72,17.51,779935.28
339,168.54,5,1,3,1913,0,1,21,9.26,8.83,587410.55
340,74.46,5,1,3,1970,1,0,40,0.68,19.68,553278.06
341,172.9,4,3,2,2000,1,0,23,4.3,7.91,717354.14
342,168.37,4,1,1,1985,0,0,43,6.96,14.3,610722.02
343,93.3,5,2,1,1904,1,0,27,4.58,5.64,477723.9
344,158.46,2,2,1,1954,0,1,43,0.92,7.28,481257.1
345,149.63,3,1,2,1901,1,1,20,5.53,3.81,502845.19
346,203.96,3,3,2,1961,1,0,21,6.42,6.94,606572.58
347,208.77,3,1,2,1990,1,0,24,7.04,10.94,657717.31
348,61.33,4,1,2,1920,1,1,40,3.73,19.84,464849.92
349,143.65,4,3,2,2017,1,0,38,5.64,13.28,749942.51
350,206.46,2,3,3,2001,1,0,35,4.51,3.98,665788.02
351,175.78,3,2,1,1978,1,0,27,6.72,0.9,602861.22
352,264.12,3,3,1,1920,0,0,41,5.84,2.53,571088.68
353,214.67,5,2,1,1909,0,0,31,5.26,11.25,577045.22
354,90.73,4,3,1,1986,0,0,47,2.5,15.3,554926.47
355,67.64,3,1,1,1957,1,1,26,0.02,18.81,382372.19
356,210.6,2,2,1,2019,1,0,32,1.74,0.32,631283.44
357,56.63,2,2,1,1938,1,0,33,1.17,10.46,301823.92
358,196.44,3,2,1,1904,1,1,17,4.49,9.42,527914.23
359,285.06,4,1,3,1964,1,1,15,6.12,13.12,793370.51
360,193.87,2,1,1,1912,1,1,14,2.13,11.19,443440.05
361,147.04,5,1,3,1984,1,0,38,9.39,13.74,733677.92
362,210.82,2,1,2,1989,0,1,37,0.07,13.16,591058.71
363,164.56,1,1,1,2013,1,0,20,7.72,2.34,544960.76
364,186.4,1,2,2,2008,0,0,10,6.25,15.99,492376.81
365,285.37,4,1,2,1984,0,0,28,3.74,2.46,707331.81
366,146.53,3,2,2,1952,1,1,18,0.5,13.97,554021.15
367,290.3,4,1,3,1981,1,1,36,6.27,8.32,800972.11
368,276.34,4,3,2,2000,0,1,43,3.86,10.28,857487.18
369,98.95,4,2,2,1944,0,1,13,9.36,18.07,532150.82
370,67.34,4,3,2,1931,1,1,45,5.42,17.8,586944.42
371,75.19,5,2,1,1935,1,0,27,9.4,16.36,542553.07
372,54.56,5,3,1,1980,0,0,24,2.2,10.2,571107.83
373,73.61,2,1,3,1998,1,0,22,7.26,14.72,454363.32
374,220.75,1,1,3,2012,1,0,28,6.17,10.26,618062.47
375,67.8,4,1,1,1959,1,1,15,7.39,17.39,532377.58
376,129.74,2,2,3,1910,0,1,21,2.15,8.06,429591.99
377,261.22,1,3,1,1962,0,0,46,6.65,19.4,539872.13
378,55.82,3,1,2,1920,0,1,26,4.98,18.65,354991.35
379,253.62,5,3,2,1951,1,1,32,7.43,14.83,854374.52
380,120.46,1,3,3,1954,1,0,35,3.27,5.59,525326.21
381,79.54,3,1,1,2016,0,0,38,8.9,2.63,511145.01
382,224.18,1,1,1,1925,0,1,42,0.84,17.09,402540.82
383,207.24,5,3,3,1967,0,1,36,8.07,3.31,845911.37
384,269.37,5,1,1,1933,1,0,34,8.61,17.09,676685.28
385,233.77,2,1,2,1951,0,0,19,8.17,9.82,540866.88
386,250.87,4,1,3,2011,0,0,32,5.13,8.13,758051.2
387,120.51,1,2,3,1981,1,1,30,4.38,18.06,507320.71
388,94.36,1,3,1,2003,1,0,30,9.96,12.08,503344.39
389,237.65,3,3,3,1998,1,0,22,2.29,11.53,732651.69
390,251.71,5,2,1,2004,0,1,46,5.47,11.18,835109.72
391,297.63,1,3,1,1992,1,1,42,6.71,7.42,701186.06
392,153.15,5,1,1,1951,1,1,33,7.01,15.71,649845.09
393,143.0,1,3,1,1928,0,1,20,2.04,5.06,446555.02
394,244.1,2,1,1,1937,1,1,26,6.54,18.78,518571.77
395,135.2,4,2,3,1941,0,0,13,8.18,17.88,515544.25
396,282.69,1,1,2,1920,0,0,34,0.5,6.75,464227.59
397,264.6,5,3,2,1941,1,1,39,9.12,14.59,842272.54
398,157.25,2,3,3,1912,1,1,18,0.3,11.46,510018.43
399,237.72,1,3,3,2012,1,1,30,3.56,6.75,706023.98
400,238.64,3,2,2,2004,1,1,29,0.16,19.77,738134.68
401,75.78,4,2,2,1963,1,1,28,0.77,0.5,582066.74
402,275.64,1,3,2,1916,1,0,28,9.11,5.05,587030.51
403,176.31,2,1,2,2019,0,0,21,3.55,10.4,549158.72
404,256.61,3,2,2,1908,0,0,46,4.25,10.44,568484.72
405,130.01,2,3,1,1940,1,0,26,2.15,11.78,455758.97
406,273.88,2,3,3,1900,0,1,46,5.97,15.03,623398.31
